"CreditScore";"Geography";"Gender";"Age";"Tenure";"Balance";"NumOfProducts";"HasCrCard";"IsActiveMember";"EstimatedSalary";"Exited"
619;"1";"1";42;2;0.0;1;1;1;101348.88;1
608;"0";"1";41;1;83807.86;1;0;1;112542.58;0
502;"1";"1";42;8;159660.8;3;1;0;113931.57;1
699;"1";"1";39;1;0.0;2;0;0;93826.63;0
850;"0";"1";43;2;125510.82;1;1;1;79084.1;0
645;"0";"0";44;8;113755.78;2;1;0;149756.71;1
822;"1";"0";50;7;0.0;2;1;1;10062.8;0
376;"2";"1";29;4;115046.74;4;1;0;119346.88;1
501;"1";"0";44;4;142051.07;2;0;1;74940.5;0
684;"1";"0";27;2;134603.88;1;1;1;71725.73;0
528;"1";"0";31;6;102016.72;2;0;0;80181.12;0
497;"0";"0";24;3;0.0;2;1;0;76390.01;0
476;"1";"1";34;10;0.0;2;1;0;26260.98;0
549;"1";"1";25;5;0.0;2;0;0;190857.79;0
635;"0";"1";35;7;0.0;2;1;1;65951.65;0
616;"2";"0";45;3;143129.41;2;0;1;64327.26;0
653;"2";"0";58;1;132602.88;1;1;0;5097.67;1
549;"0";"1";24;9;0.0;2;1;1;14406.41;0
587;"0";"0";45;6;0.0;1;0;0;158684.81;0
726;"1";"1";24;6;0.0;2;1;1;54724.03;0
732;"1";"0";41;8;0.0;2;1;1;170886.17;0
636;"0";"1";32;8;0.0;2;1;0;138555.46;0
510;"0";"1";38;4;0.0;1;1;0;118913.53;1
669;"1";"0";46;3;0.0;2;0;1;8487.75;0
846;"1";"1";38;5;0.0;1;1;1;187616.16;0
577;"1";"0";25;3;0.0;2;0;1;124508.29;0
756;"2";"0";36;2;136815.64;1;1;1;170041.95;0
571;"1";"0";44;9;0.0;2;0;0;38433.35;0
574;"2";"1";43;3;141349.43;1;1;1;100187.43;0
411;"1";"0";29;0;59697.17;2;1;1;53483.21;0
591;"0";"1";39;3;0.0;3;1;0;140469.38;1
533;"1";"0";36;7;85311.7;1;0;1;156731.91;0
553;"2";"0";41;9;110112.54;2;0;0;81898.81;0
